,Industry
1,Transport Operations & Services
2,Electrical Components
3,EMS/ODM
4,Electric Transmission & Dist
5,Multi Asset Class Own & Develop
6,Waste Management
7,P&C Insurance
8,Renewable Energy Project Dev
9,Electronics Components
10,Basic & Diversified Chemicals
11,Specialty & Generic Pharma
12,Alcoholic Beverages
13,Food & Drug Stores
14,Cable & Satellite
15,Coal Mining
16,Institutional Brokerage
17,Textile & Textile Products
18,Specialty Chemicals
19,Electrical Power Equipment
20,Gas Utilities
21,Commercial Finance
22,Auto Parts
23,Building Materials
24,Agricultural Machinery
25,Managed Care
26,Logistics Services
27,Health Care Facilities
28,Agricultural Chemicals
29,Construction & Mining Machinery
30,Power Generation
31,Defense
32,Application Software
33,"Instl Trust, Fiduciary & Custody"
34,"Apparel, Footwear & Acc Design"
35,Water Utilities
36,Precious Metals
37,Advertising & Marketing
38,Base Metals
39,Life Insurance
40,Home Products Stores
41,Chemicals Distribution
42,Furniture
43,Cement & Aggregates
44,Film & TV
45,Marine Shipping
46,Automotive Wholesalers
47,Agricultural Products Whslrs
48,Steel Producers
49,Agricultural Producers
50,Specialty Online Retailers
51,Publishing
52,Automobiles
53,Consumer Electronics
54,Printing Services
55,Paper & Pulp Mills
56,Mineral & Precious Stone Mining
57,IT Services
58,Oilfield Services & Equipment
59,Infrastructure Construction
60,Rubber & Plastic
61,Biofuels
62,Health Care Supply Chain
63,Engineering Services
64,Computer Hardware & Storage
65,Semiconductor Mfg
66,Specialty Technology Hardware
67,Food & Beverage Wholesalers
68,Industrial Wholesale & Rental
69,Packaged Food
70,Building Products
71,Real Estate Services
72,Other Machinery & Equipment
73,Out-of-Home Display Advertising
74,Life Science & Diagnostics
75,Health Care Services
76,Fabricated Metal & Hardware
77,Semiconductor Devices
78,Renewable Energy Equipment
79,Consumer Elec & Applc Whslrs
80,Other Commercial Support Svcs
81,Housewares
82,Courier Services
83,Internet Media & Services
84,Building Construction
85,Banks
86,Video Games
87,Measurement Instruments
88,Medical Devices
89,Household Appliances
90,Homebuilding
91,Communications Equipment
92,Toys & Games
93,Containers & Packaging
94,Retail Owners & Developers
95,Department Stores
96,Health Care Supplies
97,Engine & Transmission
98,Infrastructure Software
99,Music Instruments
100,Personal Care Products
101,Specialty Apparel Stores
102,Entertainment Facilities
103,Factory Automation Equipment
104,Home Products
105,Industrial Automation Controls
106,Non-Alcoholic Beverages
107,Investment Companies
108,Other Spec Retail - Discr
109,Pollution Control Equipment
110,Private Equity
111,Educational Services
112,Airlines
113,Travel Services
114,Wireless Telecommunications
115,Local TV & Radio Broadcast
116,Casinos & Gaming
117,Catalog & TV Based Retailers
118,Railroad Rolling Stock
119,Automotive Retailers
120,Biotech
121,Apparel & Footwear Whslrs
122,Integrated Oils
123,Other Financial Services
124,Shipbuilding
125,Exploration & Production
126,Restaurants
127,Hotel REIT
128,Wireline Telecommunications
129,Reinsurance
130,Industrial Owners & Developers
131,Professional Services
132,Comml & Res Bldg Equip & Sys
133,Jewelry & Watch Stores
134,Building Maintenance Services
135,Commercial Vehicles
136,Residential Owners & Developers
137,Photography Services
138,Aircraft & Parts
139,Funeral Services
140,Data & Transaction Processors
141,Other Wholesalers - Staples
142,Transit Services
143,Technology Distributors
144,Online Marketplace
145,Lodging
146,Food Services
147,Electronics & Appliances Stores
148,Other Wholesalers
149,Investment Management
150,Consumer Finance
151,Information Services
152,Wealth Management
153,Medical Equipment
154,Sporting Goods Stores
155,Midstream - Oil & Gas
156,Mass Merchants
157,Residential REIT
158,Multi Asset Class REIT
159,Industrial REIT
160,Office REIT
161,Office Supplies
162,Metals & Ore Whslrs & Traders
163,Other Consumer Services
164,Large Pharma
165,Personal Care Services
166,Refining & Marketing
167,Iron
168,Insurance Brokers & Services
169,Material Handling Machinery
170,Metalworking Machinery
171,Metal Svc Centers & Processors
172,Mining Services
173,District Heating & Cooling
174,Elec & Gas Marketing & Trading
175,Rail Freight
176,Forestry & Logging
177,Diversified Industrials
178,Flow Control Equipment
179,Tobacco
180,Office Owners & Developers
181,Home & Office Product Whslrs
182,Wood Products
183,Sporting Goods
184,Retail REIT
185,Mortgage Finance
186,Specialty Owners & Developers
187,Residential Contractors
188,Air Freight
189,Trucking
190,Integrated Electric Utilities
191,Security Services
192,Cannabis
193,Health Care REIT
194,Drilling & Drilling Support
195,Specialty REIT
196,Security & Cmdty Exchanges
197,Hotel Owners & Developers
198,Islamic Insurance
199,Infrastructure REIT
200,Recreational Vehicles
201,Data Center REIT
202,Gaming REIT
203,Cruise Lines
204,Self-Storage Owners & Develop
205,Self-storage REIT
206,Timber REIT
207,Industrial Maintenance Svcs
208,Diversified Banks
209,Music
